"Date","Time","trdSym","ltp","vol","chg","chgP","opInt","opIntChg","askivfut","askivspt","bidivfut","bidivspt","ltpivfut","ltpivspt","Expiry"
"13-05-2020","01:21","NIFTY14MAY209150CE","281.75","184725","131.95","88.08","0.48","-0.45","54.00","65.41","51.29","63.23","51.38","63.30","13 May 2020"
"13-05-2020","01:21","NIFTY14MAY209200CE","240.30","3175125","117.30","95.37","6.94","-4.78","52.73","63.33","51.78","62.51","52.55","63.17","13 May 2020"
"13-05-2020","01:21","NIFTY14MAY209250CE","203.65","472800","103.35","103.04","0.92","-0.93","53.63","61.48","52.38","60.32","52.41","60.35","13 May 2020"
"13-05-2020","01:21","NIFTY14MAY209300CE","170.10","5449050","89.25","110.39","6.68","-3.62","53.39","59.98","52.94","59.55","53.22","59.82","13 May 2020"
"13-05-2020","01:21","NIFTY14MAY209350CE","139.30","2055975","73.40","111.38","2.24","-0.14","53.79","59.37","53.39","58.98","53.45","59.03","13 May 2020"
"13-05-2020","01:21","NIFTY14MAY209400CE","112.30","18800325","60.50","116.80","17.52","5.77","54.77","59.56","54.46","59.26","54.51","59.31","13 May 2020"
"13-05-2020","01:21","NIFTY14MAY209450CE","91.35","4767375","50.05","121.19","4.36","2.58","55.50","59.68","55.27","59.45","55.35","59.53","13 May 2020"
"13-05-2020","01:21","NIFTY14MAY209500CE","72.30","32458275","39.05","117.44","34.21","14.06","56.04","59.73","55.85","59.54","55.90","59.59","13 May 2020"
"13-05-2020","01:21","NIFTY14MAY209550CE","55.50","4147125","29.40","112.64","3.36","1.95","56.19","59.87","56.04","59.72","56.07","59.75","13 May 2020"
"13-05-2020","01:21","NIFTY14MAY209600CE","43.20","25859175","22.85","112.29","22.44","10.70","56.92","59.88","56.85","59.81","56.98","59.94","13 May 2020"
"13-05-2020","01:21","NIFTY14MAY209650CE","32.65","3526575","16.45","101.54","2.87","1.52","57.63","60.33","57.49","60.18","57.49","60.18","13 May 2020"
"13-05-2020","01:25","NIFTY14MAY209150CE","271.75","185725","131.95","88.08","0.48","-0.45","54.00","65.41","51.29","63.23","51.38","63.30","13 May 2020"
"13-05-2020","01:25","NIFTY14MAY209200CE","250.30","3195125","117.30","95.37","6.94","-4.78","52.73","63.33","51.78","62.51","52.55","63.17","13 May 2020"
"13-05-2020","01:25","NIFTY14MAY209250CE","253.65","471800","103.35","103.04","0.92","-0.93","53.63","61.48","52.38","60.32","52.41","60.35","13 May 2020"
"13-05-2020","01:25","NIFTY14MAY209300CE","190.10","5459050","89.25","110.39","6.68","-3.62","53.39","59.98","52.94","59.55","53.22","59.82","13 May 2020"
"13-05-2020","01:25","NIFTY14MAY209350CE","179.30","2015975","73.40","111.38","2.24","-0.14","53.79","59.37","53.39","58.98","53.45","59.03","13 May 2020"
"13-05-2020","01:25","NIFTY14MAY209400CE","152.30","18300325","60.50","116.80","17.52","5.77","54.77","59.56","54.46","59.26","54.51","59.31","13 May 2020"
"13-05-2020","01:25","NIFTY14MAY209450CE","101.35","4797375","50.05","121.19","4.36","2.58","55.50","59.68","55.27","59.45","55.35","59.53","13 May 2020"
"13-05-2020","01:25","NIFTY14MAY209500CE","152.30","32058275","39.05","117.44","34.21","14.06","56.04","59.73","55.85","59.54","55.90","59.59","13 May 2020"
"13-05-2020","01:25","NIFTY14MAY209550CE","59.50","4149125","29.40","112.64","3.36","1.95","56.19","59.87","56.04","59.72","56.07","59.75","13 May 2020"
"13-05-2020","01:25","NIFTY14MAY209600CE","47.20","25819175","22.85","112.29","22.44","10.70","56.92","59.88","56.85","59.81","56.98","59.94","13 May 2020"
"13-05-2020","01:25","NIFTY14MAY209650CE","22.65","3523575","16.45","101.54","2.87","1.52","57.63","60.33","57.49","60.18","57.49","60.18","13 May 2020"
