"Datetime","trdSym","ltp","vol","chg","chgP","opInt","opIntChg","askivfut","askivspt","bidivfut","bidivspt","ltpivfut","ltpivspt","Expiry"
"12-05-2020 03:10","NIFTY14MAY208950CE","275.35","70950","-33.80","-10.93","0.06","0.05","44.87","51.16","42.18","48.83","48.63","54.48","14 May 2020"
"12-05-2020 03:10","NIFTY14MAY209000CE","232.55","7716225","-33.75","-12.67","2.43","1.57","43.75","49.11","43.05","48.47","42.97","48.40","14 May 2020"
"12-05-2020 03:10","NIFTY14MAY209050CE","196.05","2267775","-27.15","-12.16","0.60","0.56","42.96","47.51","42.21","46.80","41.53","46.17","14 May 2020"
"12-05-2020 03:10","NIFTY14MAY209100CE","164.70","28581750","-27.40","-14.26","5.05","3.92","42.78","46.64","42.45","46.32","42.39","46.26","14 May 2020"
"12-05-2020 03:10","NIFTY14MAY209150CE","136.00","7391925","-27.10","-16.62","1.26","1.16","42.76","46.06","42.31","45.62","42.47","45.77","14 May 2020"
"12-05-2020 03:10","NIFTY14MAY209200CE","110.40","37376250","-23.10","-17.30","12.85","6.99","42.63","45.48","42.43","45.28","42.67","45.52","14 May 2020"
"12-05-2020 03:10","NIFTY14MAY209250CE","88.80","8305875","-18.85","-17.51","2.47","1.22","42.95","45.44","42.66","45.14","43.02","45.51","14 May 2020"
"12-05-2020 03:10","NIFTY14MAY209300CE","71.50","31541475","-14.60","-16.96","12.81","1.93","43.35","45.55","43.24","45.44","43.28","45.47","14 May 2020"
"12-05-2020 03:10","NIFTY14MAY209350CE","56.50","5416500","-12.45","-18.06","2.77","0.48","43.90","45.86","43.78","45.74","43.90","45.86","14 May 2020"
"12-05-2020 03:10","NIFTY14MAY209400CE","44.50","25238775","-9.10","-16.98","13.02","-1.46","44.42","46.20","44.30","46.07","44.32","46.09","14 May 2020"
"12-05-2020 03:10","NIFTY14MAY209450CE","35.05","4121850","-6.20","-15.03","1.84","0.07","45.21","46.83","45.07","46.69","45.21","46.83","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY208950CE","275.35","70950","-33.80","-10.93","0.06","0.05","44.87","51.16","42.18","48.83","48.63","54.48","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209000CE","236.95","7738275","-29.35","-11.02","2.43","1.57","43.75","49.11","43.05","48.47","42.97","48.40","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209050CE","200.00","2269200","-23.20","-10.39","0.60","0.56","42.96","47.51","42.21","46.80","41.53","46.17","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209100CE","166.95","28603875","-25.15","-13.09","5.05","3.92","42.78","46.64","42.45","46.32","42.39","46.26","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209150CE","138.55","7399650","-24.55","-15.05","1.26","1.16","42.76","46.06","42.31","45.62","42.47","45.77","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209200CE","113.50","37458750","-20.00","-14.98","12.85","6.99","42.63","45.48","42.43","45.28","42.67","45.52","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209250CE","91.85","8317650","-15.80","-14.68","2.47","1.22","42.95","45.44","42.66","45.14","43.02","45.51","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209300CE","74.00","31623225","-12.10","-14.05","12.81","1.93","43.35","45.55","43.24","45.44","43.28","45.47","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209350CE","58.85","5425050","-10.10","-14.65","2.77","0.48","43.90","45.86","43.78","45.74","43.90","45.86","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209400CE","46.35","25311150","-7.25","-13.53","13.02","-1.46","44.42","46.20","44.30","46.07","44.32","46.09","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209450CE","36.50","4129350","-4.75","-11.52","1.84","0.07","45.21","46.83","45.07","46.69","45.21","46.83","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY208950CE","275.35","70950","-33.80","-10.93","0.06","0.05","44.87","51.16","42.18","48.83","48.63","54.48","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209000CE","239.90","7750500","-26.40","-9.91","2.43","1.57","43.75","49.11","43.05","48.47","42.97","48.40","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209050CE","203.25","2269575","-19.95","-8.94","0.60","0.56","42.96","47.51","42.21","46.80","41.53","46.17","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209100CE","169.45","28612800","-22.65","-11.79","5.05","3.92","42.78","46.64","42.45","46.32","42.39","46.26","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209150CE","140.55","7403250","-22.55","-13.83","1.26","1.16","42.76","46.06","42.31","45.62","42.47","45.77","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209200CE","115.20","37490775","-18.30","-13.71","12.85","6.99","42.63","45.48","42.43","45.28","42.67","45.52","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209250CE","93.00","8323425","-14.65","-13.61","2.47","1.22","42.95","45.44","42.66","45.14","43.02","45.51","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209300CE","74.50","31672650","-11.60","-13.47","12.81","1.93","43.35","45.55","43.24","45.44","43.28","45.47","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209350CE","59.55","5428725","-9.40","-13.63","2.77","0.48","43.90","45.86","43.78","45.74","43.90","45.86","14 May 2020"
