"Datetime","trdSym","ltp","vol","chg","chgP","opInt","opIntChg","askivfut","askivspt","bidivfut","bidivspt","ltpivfut","ltpivspt","Expiry"
"12-05-2020 03:10","NIFTY14MAY208950PE","35.85","5052825","-0.35","-0.97","1.60","0.07","46.10","44.73","45.98","44.62","46.10","44.73","14 May 2020"
"12-05-2020 03:10","NIFTY14MAY209000PE","46.65","45379800","-0.35","-0.74","19.52","4.26","45.46","43.97","45.36","43.87","45.46","43.97","14 May 2020"
"12-05-2020 03:10","NIFTY14MAY209050PE","60.35","6464250","1.25","2.12","2.31","1.35","44.82","43.19","44.71","43.08","44.82","43.19","14 May 2020"
"12-05-2020 03:10","NIFTY14MAY209100PE","77.45","34585950","2.40","3.20","11.73","5.93","44.45","42.64","44.33","42.52","44.33","42.52","14 May 2020"
"12-05-2020 03:10","NIFTY14MAY209150PE","98.50","4497300","5.25","5.63","1.90","0.76","44.38","42.35","44.20","42.18","44.34","42.31","14 May 2020"
"12-05-2020 03:10","NIFTY14MAY209200PE","124.25","15567000","9.10","7.90","11.11","0.84","44.09","41.80","44.00","41.71","44.02","41.73","14 May 2020"
"12-05-2020 03:10","NIFTY14MAY209250PE","154.15","840750","14.35","10.26","0.79","-0.46","44.51","41.89","44.18","41.56","44.36","41.74","14 May 2020"
"12-05-2020 03:10","NIFTY14MAY209300PE","183.70","4681500","15.60","9.28","5.71","-1.37","44.92","41.91","44.62","41.60","44.47","41.45","14 May 2020"
"12-05-2020 03:10","NIFTY14MAY209350PE","219.90","121125","19.45","9.70","0.55","-0.11","45.80","42.31","45.04","41.53","45.74","42.25","14 May 2020"
"12-05-2020 03:10","NIFTY14MAY209400PE","258.35","1247325","23.70","10.10","2.07","-0.97","46.49","42.42","45.85","41.75","47.03","42.99","14 May 2020"
"12-05-2020 03:10","NIFTY14MAY209450PE","296.45","33300","22.75","8.31","0.18","-0.02","47.23","42.44","46.07","41.16","47.50","42.73","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY208950PE","35.85","5060700","-0.35","-0.97","1.60","0.07","46.10","44.73","45.98","44.62","46.10","44.73","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209000PE","46.45","45447000","-0.55","-1.17","19.52","4.26","45.46","43.97","45.36","43.87","45.46","43.97","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209050PE","60.05","6478950","0.95","1.61","2.31","1.35","44.82","43.19","44.71","43.08","44.82","43.19","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209100PE","77.15","34654125","2.10","2.80","11.73","5.93","44.45","42.64","44.33","42.52","44.33","42.52","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209150PE","97.25","4576125","4.00","4.29","1.90","0.76","44.38","42.35","44.20","42.18","44.34","42.31","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209200PE","122.30","15659400","7.15","6.21","11.11","0.84","44.09","41.80","44.00","41.71","44.02","41.73","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209250PE","150.40","846300","10.60","7.58","0.79","-0.46","44.51","41.89","44.18","41.56","44.36","41.74","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209300PE","181.90","4698375","13.80","8.21","5.71","-1.37","44.92","41.91","44.62","41.60","44.47","41.45","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209350PE","218.80","121875","18.35","9.15","0.55","-0.11","45.80","42.31","45.04","41.53","45.74","42.25","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209400PE","257.70","1248825","23.05","9.82","2.07","-0.97","46.49","42.42","45.85","41.75","47.03","42.99","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209450PE","297.00","33375","23.30","8.51","0.18","-0.02","47.23","42.44","46.07","41.16","47.50","42.73","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY208950PE","35.10","5063775","-1.10","-3.04","1.60","0.07","46.10","44.73","45.98","44.62","46.10","44.73","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209000PE","45.40","45477975","-1.60","-3.40","19.52","4.26","45.46","43.97","45.36","43.87","45.46","43.97","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209050PE","59.30","6483675","0.20","0.34","2.31","1.35","44.82","43.19","44.71","43.08","44.82","43.19","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209100PE","75.65","34671375","0.60","0.80","11.73","5.93","44.45","42.64","44.33","42.52","44.33","42.52","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209150PE","96.10","4585800","2.85","3.06","1.90","0.76","44.38","42.35","44.20","42.18","44.34","42.31","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209200PE","120.40","15686625","5.25","4.56","11.11","0.84","44.09","41.80","44.00","41.71","44.02","41.73","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209250PE","148.65","848700","8.85","6.33","0.79","-0.46","44.51","41.89","44.18","41.56","44.36","41.74","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209300PE","179.95","4709175","11.85","7.05","5.71","-1.37","44.92","41.91","44.62","41.60","44.47","41.45","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209350PE","218.80","121875","18.35","9.15","0.55","-0.11","45.80","42.31","45.04","41.53","45.74","42.25","14 May 2020"
"12-05-2020 03:11","NIFTY14MAY209400PE","252.35","1249050","17.70","7.54","2.07","-0.97","46.49","42.42","45.85","41.75","47.03","42.99","14 May 2020"
