"Datetime","trdSym","ltp","vol","chg","chgP","opInt","opIntChg","askivfut","askivspt","bidivfut","bidivspt","ltpivfut","ltpivspt","Expiry"
"13-05-2020 11:17","NIFTY14MAY209200CE","270.35","2472075","147.35","119.80","7.11","-4.60","52.24","63.40","51.28","62.62","52.24","63.40","14 May 2020"
"13-05-2020 11:17","NIFTY14MAY209250CE","227.75","372225","127.45","127.07","1.05","-0.80","52.68","61.81","51.11","60.42","50.55","59.93","14 May 2020"
"13-05-2020 11:17","NIFTY14MAY209300CE","192.65","3982875","111.80","138.28","6.55","-3.75","52.65","60.23","52.07","59.70","52.53","60.12","14 May 2020"
"13-05-2020 11:17","NIFTY14MAY209350CE","160.10","1419450","94.20","142.94","1.93","-0.45","53.27","59.62","52.83","59.19","52.83","59.19","14 May 2020"
"13-05-2020 11:17","NIFTY14MAY209400CE","131.00","12496650","79.20","152.90","14.68","2.93","53.92","59.32","53.63","59.03","54.02","59.42","14 May 2020"
"13-05-2020 11:17","NIFTY14MAY209450CE","105.90","3189375","64.60","156.42","3.95","2.17","54.55","59.21","54.27","58.93","54.44","59.10","14 May 2020"
"13-05-2020 11:17","NIFTY14MAY209500CE","84.65","21742350","51.40","154.59","28.64","8.49","55.18","59.26","54.98","59.05","54.98","59.05","14 May 2020"
"13-05-2020 11:17","NIFTY14MAY209550CE","66.40","2845050","40.30","154.41","3.03","1.62","55.78","59.39","55.59","59.19","55.86","59.47","14 May 2020"
"13-05-2020 11:17","NIFTY14MAY209600CE","51.60","18071100","31.25","153.56","20.22","8.49","56.38","59.61","56.24","59.47","56.41","59.64","14 May 2020"
"13-05-2020 11:17","NIFTY14MAY209650CE","40.20","2563575","24.00","148.15","2.63","1.27","57.26","60.19","57.13","60.06","57.13","60.06","14 May 2020"
"13-05-2020 11:17","NIFTY14MAY209700CE","30.90","14010150","18.10","141.41","15.75","7.57","58.11","60.78","57.96","60.64","58.00","60.67","14 May 2020"
"13-05-2020 11:46","NIFTY14MAY209200CE","263.00","2592900","140.00","113.82","7.01","-4.70","51.64","61.50","50.44","60.50","50.28","60.36","14 May 2020"
"13-05-2020 11:46","NIFTY14MAY209250CE","225.05","405975","124.75","124.38","1.02","-0.83","51.57","59.64","50.26","58.47","51.95","59.98","14 May 2020"
"13-05-2020 11:46","NIFTY14MAY209300CE","185.85","4360200","105.00","129.87","6.55","-3.75","51.37","58.04","50.83","57.54","50.62","57.34","14 May 2020"
"13-05-2020 11:46","NIFTY14MAY209350CE","154.10","1515825","88.20","133.84","1.87","-0.51","52.17","57.73","51.63","57.20","51.74","57.30","14 May 2020"
"13-05-2020 11:46","NIFTY14MAY209400CE","125.35","13969875","73.55","141.99","14.84","3.09","52.73","57.43","52.44","57.15","52.55","57.25","14 May 2020"
"13-05-2020 11:46","NIFTY14MAY209450CE","101.05","3614700","59.75","144.67","3.96","2.18","53.43","57.48","53.17","57.22","53.25","57.30","14 May 2020"
"13-05-2020 11:46","NIFTY14MAY209500CE","80.45","24515325","47.20","141.95","29.61","9.45","53.97","57.51","53.79","57.32","53.84","57.37","14 May 2020"
"13-05-2020 11:46","NIFTY14MAY209550CE","62.20","3225975","36.10","138.31","3.11","1.71","54.30","57.43","54.09","57.20","53.98","57.09","14 May 2020"
"13-05-2020 11:46","NIFTY14MAY209600CE","48.25","20403375","27.90","137.10","20.68","8.95","54.98","57.77","54.92","57.71","54.92","57.71","14 May 2020"
"13-05-2020 11:46","NIFTY14MAY209650CE","36.80","2923200","20.60","127.16","2.75","1.39","55.72","58.24","55.52","58.04","55.55","58.07","14 May 2020"
"13-05-2020 11:46","NIFTY14MAY209700CE","27.80","15643500","15.00","117.19","16.13","7.95","56.44","58.74","56.32","58.62","56.28","58.58","14 May 2020"
,"NIFTY14MAY209150CE","260.00","184650","110.20","73.56","0.48","-0.45","55.79","65.42","53.96","63.85","49.07","59.78","13 May 2020"
,"NIFTY14MAY209200CE","228.70","3154875","105.70","85.93","7.02","-4.69","55.17","63.41","54.77","63.04","55.30","63.53","13 May 2020"
,"NIFTY14MAY209250CE","192.00","471150","91.70","91.43","0.93","-0.92","55.84","62.55","54.96","61.71","54.96","61.71","13 May 2020"
,"NIFTY14MAY209300CE","159.05","5382075","78.20","96.72","6.74","-3.56","55.53","61.22","55.20","60.91","55.20","60.91","13 May 2020"
,"NIFTY14MAY209350CE","130.05","2013075","64.15","97.34","2.50","0.12","55.70","60.57","55.49","60.37","55.65","60.52","13 May 2020"
,"NIFTY14MAY209400CE","106.30","18593400","54.50","105.21","17.42","5.67","56.38","60.61","56.18","60.41","56.15","60.38","13 May 2020"
,"NIFTY14MAY209450CE","85.00","4731600","43.70","105.81","4.42","2.64","56.67","60.47","56.49","60.29","56.85","60.65","13 May 2020"
,"NIFTY14MAY209500CE","66.40","32191875","33.15","99.70","34.45","14.29","57.29","60.59","57.15","60.45","57.29","60.59","13 May 2020"
,"NIFTY14MAY209550CE","51.20","4110300","25.10","96.17","3.40","1.99","57.43","60.38","57.28","60.23","57.31","60.26","13 May 2020"
,"NIFTY14MAY209600CE","39.25","25703550","18.90","92.87","22.45","10.71","57.96","60.61","57.83","60.48","57.89","60.55","13 May 2020"
,"NIFTY14MAY209650CE","30.00","3508950","13.80","85.19","2.92","1.56","58.61","61.05","58.38","60.82","58.57","61.01","13 May 2020"
