"Date","Time","trdSym","ltp","vol","chg","chgP","opInt","opIntChg","askivfut","askivspt","bidivfut","bidivspt","ltpivfut","ltpivspt","Expiry"
"14-05-2020","01:16","NIFTY14MAY208950CE","281.50","2550","-165.45","-37.02","0.05","0.01","30.15","30.87","0.00","0.00","58.11","58.32","14 May 2020"
"14-05-2020","01:16","NIFTY14MAY209000CE","203.70","994050","-194.70","-48.87","1.09","0.04","24.31","0.00","21.55","0.00","22.85","14.96","14 May 2020"
"14-05-2020","01:16","NIFTY14MAY209050CE","151.20","104925","-207.60","-57.86","0.24","0.03","14.05","15.10","0.00","0.00","0.00","17.55","14 May 2020"
"14-05-2020","01:16","NIFTY14MAY209100CE","104.30","5166375","-203.40","-66.10","3.18","1.28","12.62","8.50","11.07","0.00","11.25","0.00","14 May 2020"
"14-05-2020","01:16","NIFTY14MAY209150CE","56.85","3793500","-213.65","-78.98","2.76","2.41","10.30","8.23","10.06","7.86","9.91","7.61","14 May 2020"
"14-05-2020","01:16","NIFTY14MAY209200CE","22.90","42195150","-204.35","-89.92","33.62","29.07","10.55","10.62","10.47","10.54","10.58","10.65","14 May 2020"
"14-05-2020","01:16","NIFTY14MAY209250CE","7.40","38555700","-184.55","-96.14","33.19","32.54","12.17","12.21","12.10","12.14","12.07","12.11","14 May 2020"
"14-05-2020","01:16","NIFTY14MAY209300CE","1.85","63075750","-157.00","-98.84","58.89","53.20","13.15","13.18","13.07","13.10","13.07","13.10","14 May 2020"
"14-05-2020","01:16","NIFTY14MAY209350CE","0.55","21989625","-130.75","-99.58","19.86","18.40","14.68","14.70","14.46","14.48","14.68","14.70","14 May 2020"
"14-05-2020","01:16","NIFTY14MAY209400CE","0.35","33755700","-106.65","-99.67","42.89","28.62","18.01","18.03","17.69","17.71","18.01","18.03","14 May 2020"
"14-05-2020","01:16","NIFTY14MAY209450CE","0.30","8161500","-85.80","-99.65","10.76","7.74","21.52","21.54","21.11","21.13","21.11","21.13","14 May 2020"
