"Date","Time","trdSym","ltp","vol","chg","chgP","opInt","opIntChg","askivfut","askivspt","bidivfut","bidivspt","ltpivfut","ltpivspt","Expiry"
,"01:16","NIFTY14MAY208950PE","0.15","2252775","-6.15","-97.62","4.91","3.32","20.74","20.72","18.59","18.57","20.74","20.72","14 May 2020"
,"01:16","NIFTY14MAY209000PE","0.25","15503700","-8.95","-97.28","27.13","10.13","18.09","18.07","17.61","17.59","18.09","18.07","14 May 2020"
,"01:16","NIFTY14MAY209050PE","0.50","8119725","-12.75","-96.23","7.79","6.33","15.78","15.76","15.55","15.53","15.78","15.76","14 May 2020"
,"01:16","NIFTY14MAY209100PE","1.40","34122375","-17.40","-92.55","31.11","21.93","13.55","13.53","13.45","13.43","13.55","13.53","14 May 2020"
,"01:16","NIFTY14MAY209150PE","3.85","33599850","-23.05","-85.69","19.28","17.63","10.88","10.86","10.84","10.81","10.93","10.90","14 May 2020"
,"01:16","NIFTY14MAY209200PE","20.00","67851450","-17.75","-47.02","37.20","26.16","11.73","11.68","11.62","11.57","11.76","11.70","14 May 2020"
,"01:16","NIFTY14MAY209250PE","54.40","19749150","2.55","4.92","7.44","5.94","14.12","14.86","13.86","14.61","13.76","14.51","14 May 2020"
,"01:16","NIFTY14MAY209300PE","99.05","20194425","29.10","41.60","7.03","-2.21","15.98","15.79","15.42","15.21","15.87","15.67","14 May 2020"
,"01:16","NIFTY14MAY209350PE","147.95","1581975","56.15","61.17","0.86","-0.62","20.25","19.98","18.47","18.12","20.02","19.74","14 May 2020"
,"01:16","NIFTY14MAY209400PE","197.00","4936200","79.70","67.95","4.79","-3.56","24.98","24.67","23.12","22.73","23.99","23.65","14 May 2020"
,"01:16","NIFTY14MAY209450PE","247.25","219525","101.25","69.35","0.39","-0.44","31.38","33.91","27.70","31.11","0.00","0.00","14 May 2020"
