"Date","Time","trdSym","ltp","vol","chg","chgP","opInt","opIntChg","askivfut","askivspt","bidivfut","bidivspt","ltpivfut","ltpivspt","Expiry"
,"01:21","NIFTY14MAY209150PE","24.40","4156800","-67.45","-73.43","3.19","1.26","55.81","53.34","55.60","53.13","55.60","53.13","13 May 2020"
,"01:21","NIFTY14MAY209200PE","33.50","22331100","-80.50","-70.61","15.06","6.49","55.54","52.80","55.40","52.67","55.50","52.77","13 May 2020"
,"01:21","NIFTY14MAY209250PE","45.95","3890250","-94.30","-67.24","2.49","1.80","55.58","52.52","55.42","52.37","55.33","52.27","13 May 2020"
,"01:21","NIFTY14MAY209300PE","61.55","20918775","-109.40","-64.00","13.49","8.78","55.41","51.95","55.27","51.81","55.41","51.95","13 May 2020"
,"01:21","NIFTY14MAY209350PE","80.95","4093125","-125.35","-60.76","2.32","1.78","55.94","51.99","55.73","51.79","55.76","51.81","13 May 2020"
,"01:21","NIFTY14MAY209400PE","105.50","19599600","-137.75","-56.63","10.89","8.94","56.37","51.82","56.09","51.54","56.20","51.65","13 May 2020"
,"01:21","NIFTY14MAY209450PE","132.80","2092950","-151.95","-53.36","1.29","1.12","57.26","51.24","56.90","50.88","56.90","50.88","13 May 2020"
,"01:21","NIFTY14MAY209500PE","163.30","8823300","-155.30","-48.74","6.64","3.31","58.08","51.84","57.55","51.29","57.60","51.35","13 May 2020"
,"01:21","NIFTY14MAY209550PE","211.90","248700","-148.50","-41.20","0.19","0.17","58.62","51.16","57.38","49.81","66.81","59.89","13 May 2020"
,"01:21","NIFTY14MAY209600PE","235.55","1397025","-175.70","-42.72","0.85","0.66","59.65","50.61","58.72","49.55","58.54","49.33","13 May 2020"
,"01:21","NIFTY14MAY209650PE","288.90","54450","-154.05","-34.78","0.07","0.07","60.75","49.61","58.54","46.78","70.12","60.72","13 May 2020"
